Time (uS) - Plot 0;Amplitude - Plot 0 - real;Time (uS) - Plot 0;Amplitude - Plot 1 - imag
5860;-2,80E+04;5860;9,00E+03
5880;-4,00E+03;5880;-3,20E+04
5900;1,00E+03;5900;-2,30E+04
5920;-1,80E+04;5920;2,00E+04
5940;-1,40E+04;5940;4,00E+03
5960;7,20E+04;5960;7,00E+03
5980;-4,00E+04;5980;1,10E+04
6000;-1,30E+04;6000;4,20E+04
6020;3,60E+01;6020;-4,60E+04
6040;6,20E+04;6040;-2,80E+04
6060;6,30E+04;6060;3,70E+04
6080;-4,90E+04;6080;2,40E+04
6100;3,10E+04;6100;6,30E+04
6120;1,50E+04;6120;-3,00E+03
6140;-2,00E+04;6140;2,00E+04
6160;1,30E+04;6160;-1,50E+04
6180;4,70E+04;6180;3,00E+03
6200;-4,30E+04;6200;2,30E+04
6220;1,70E+04;6220;-4,20E+04
6240;-2,10E+04;6240;2,60E+04
6260;-1,20E+04;6260;1,50E+04
6280;-3,60E+04;6280;6,07E+02
6300;1,90E+04;6300;-6,00E+04
6320;-5,40E+04;6320;1,20E+04
6340;5,60E+04;6340;2,10E+04
6360;-2,30E+04;6360;-7,20E+04
6380;-2,80E+04;6380;1,20E+04
6400;-2,40E+04;6400;-2,40E+04
6420;5,30E+04;6420;-4,00E+03
6440;-5,80E+04;6440;2,60E+04
6460;-5,70E+04;6460;8,00E+03
6480;-2,10E+04;6480;-6,10E+04
6500;-4,80E+04;6500;-1,20E+04
6520;2,00E+04;6520;-9,00E+03
6540;2,40E+04;6540;5,00E+03
6560;-4,10E+04;6560;3,00E+04
6580;1,10E+04;6580;2,90E+04
6600;-6,00E+04;6600;-5,00E+03
6620;-2,70E+04;6620;-2,80E+04
6640;-7,10E+04;6640;7,00E+03
6660;5,20E+04;6660;-1,40E+04
6680;-2,00E+04;6680;2,30E+04
6700;-1,00E+04;6700;2,00E+03
6720;-4,80E+04;6720;-4,00E+03
6740;2,00E+04;6740;2,70E+04
6760;4,10E+02;6760;2,80E+04
6780;2,00E+04;6780;4,00E+03
6800;2,10E+04;6800;-2,00E+04
6820;-3,70E+04;6820;5,30E+04
6840;-3,00E+03;6840;4,50E+04
6860;3,00E+04;6860;-1,40E+04
6880;6,80E+04;6880;-2,20E+04
6900;6,10E+04;6900;2,70E+04
6920;-4,70E+04;6920;1,20E+04
6940;3,60E+04;6940;-3,00E+03
6960;4,00E+04;6960;3,00E+04
6980;-6,00E+03;6980;-1,30E+04
7000;5,20E+04;7000;-6,00E+04
7020;1,90E+04;7020;3,00E+03
7040;-3,60E+04;7040;-6,50E+04
7060;-2,00E+03;7060;-3,50E+04
